Accession	Gene Names	Entry	Protein names	Mass
OG6_103385	C704330CA	A0A1D8PRK2	Sys1p	19443
OG6r21_140141	C704340CA	A0A1D8PRL1	Uncharacterized protein	7522
OG6_108054	C704360CA	A0A1D8PRM3	Tlo16p	20441
OG6_107452	CR00010CA	A0A1D8PRL7	SWIM-type domain-containing protein	76604
OG6_100908	CR00020WA	A0A1D8PRK6	Tlo1p	28792
OG6r21_140142	CR00040CA	A0A1D8PRM2	Uncharacterized protein	40055
OG6_197946	CR00050WA	A0A1D8PRK8	Ino2p	43579
OG6_100049	CR00060CA	A0A1D8PRM6	DNA helicase Pif1-like DEAD-box helicase domain-containing protein	70160
OG6_101727	CR00070WA	Q5AAF4	Formin BNR1	168566
OG6_100216	CR00080WA	A0A1D8PRL4	Mis12p	111268
OG6_122871	CR00090CA	A0A1D8PRL3	NAD(P)-binding domain-containing protein	25185
OG6_102490	CR00100CA	Q5AAG1	Enhancer of polycomb-like protein 1	87442
OG6_102737	CR00110WA	A0A1D8PRN0	Uncharacterized protein	81658
OG6_100339	CR00120CA	Q5AAG6	Mitogen-activated protein kinase MKC1 (MAP kinase MKC1) (EC 2.7.11.24)	59036
OG6_114736	CR00130CA	A0A1D8PRL8	Aminotransferase class I/classII large domain-containing protein	43887
OG6r21_102052	CR00140WA	A0A1D8PRN4	Rep1p	78600
OG6_101592	CR00150CA	A0A1D8PRL6	acetyl-CoA C-acyltransferase (EC 2.3.1.16)	42900
OG6r21_101134	CR00160CA	A0A1D8PRN5	Uncharacterized protein	16460
OG6_137737	CR00170WA	A0A1D8PRL9	Zcf38p	66662
OG6_107621	CR00180CA	Q5AAH2	Chitinase 1 (EC 3.2.1.14)	48890
OG6_106267	CR00190WA	A0A1D8PRM0	Ngs1p	107266
OG6_102030	CR00200WA	A0A1D8PRM7	Phosphoenolpyruvate carboxykinase (ATP) (EC 4.1.1.49)	60978
OG6_122931	CR00210WA	A0A1D8PRN7	Alk2p	59820
OG6_122931	CR00220WA	A0A1D8PRP5	Uncharacterized protein	61849
OG6_103030	CR00230WA	A0A1D8PRM4	Nucleoporin	209942
OG6_102118	CR00240WA	A0A1D8PRP0	U6 snRNA-associated Sm-like protein LSm6	8759
OG6_115888	CR00250WA	A0A1D8PRM5	F1F0 ATP synthase subunit f	11272
OG6_111506	CR00260WA	A0A1D8PRN8	non-specific serine/threonine protein kinase (EC 2.7.11.1)	133884
OG6_133026	CR00270CA	A0A1D8PRM8	ABM domain-containing protein	18230
OG6_127218	CR00280CA	A0A1D8PRM9	Uncharacterized protein	47971
OG6r21_115570	CR00290WA	A0A1D8PRN1	Uncharacterized protein	33574
OG6_108825	CR00300WA	A0A1D8PRN6	chitin deacetylase (EC 3.5.1.41)	41351
OG6r21_102053	CR00310CA	A0A1D8PRQ2	Uncharacterized protein	29473
OG6_100833	CR00320CA	Q5AAI8	Nucleosome assembly protein 1	49517
OG6_100236	CR00330CA	A0A1D8PRN3	ATP-binding cassette long-chain fatty acid transporter	88237
OG6_109441	CR00340CA	A0A1D8PRP7	IMS import disulfide relay-system CHCH-CHCH-like Cx9C domain-containing protein	7002
OG6_100907	CR00350WA	A0A1D8PRN2	Nicotinamide-nucleotide adenylyltransferase (EC 2.7.7.1) (EC 2.7.7.18)	45151
OG6_101506	CR00360CA	A0A1D8PRP8	3-isopropylmalate dehydratase (EC 4.2.1.33) (Alpha-IPM isomerase) (Isopropylmalate isomerase)	86102
OG6_102066	CR00370WA	A0A1D8PRP1	Cullin	98986
OG6_100194	CR00380WA	A0A1D8PRP2	NADH:flavin oxidoreductase/NADH oxidase N-terminal domain-containing protein	49012
OG6r21_102015	CR00390WA	A0A1D8PRP3	Mms22p	196922
OG6_102680	CR00400CA	Q5AAJ7	SWR1-complex protein 4	74039
OG6_113601	CR00410WA	Q5AAJ8	Histone acetyltransferase RTT109 (EC 2.3.1.48)	41735
OG6_108411	CR00420WA	A0A1D8PRS0	Major facilitator superfamily (MFS) profile domain-containing protein	58617
OG6_103994	CR00430CA	A0A1D8PRQ4	BolA-like protein	9655
OG6_111250	CR00440CA	A0A1D8PRQ6	Lrg1p	165019
OG6_102070	CR00460CA	A0A1D8PRP4	SnoRNA-binding rRNA-processing protein	21603
OG6_100011	CR00470WA	A0A1D8PRQ0	Reverse transcriptase domain-containing protein	48755
OG6_103727	CR00480WA	A0A1D8PRP9	Mitochondrial 54S ribosomal protein YmL16	26272
OG6_100949	CR00490WA	A0A1D8PRP6	Large ribosomal subunit protein uL3m	32005
OG6_101413	CR00510CA	A0A1D8PRQ1	Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6) (SAICAR synthetase)	32924
OG6_101697	CR00520CA	A0A1D8PRR9	Exportin	124029
OG6r21_109277	CR00530WA	A0A1D8PRR6	Uncharacterized protein	21358
OG6_101212	CR00540CA	P83778	Malate dehydrogenase, cytoplasmic (EC 1.1.1.37)	36004
OG6_111461	CR00560WA	A0A1D8PRR3	Trehalase (EC 3.2.1.28) (Alpha-trehalose glucohydrolase)	104072
OG6_100316	CR00570WA	A0A1D8PRR4	Trans-hexaprenyltranstransferase	56142
OG6_101736	CR00580WA	A0A1D8PRQ3	Ran GTPase-binding protein	24206
OG6_111525	CR00590WA	A0A1D8PRR1	Pho81p	149035
OG6r21_167667	CR00600CA	A0A1D8PRQ5	SPIN90/Ldb17 leucine-rich domain-containing protein	87025
OG6_109925	CR00610WA	Q5AAL9	Cell wall protein IFF4 (Adhesin-like protein IFF4)	160456
OG6_101359	CR00620CA	A0A1D8PRR5	argininosuccinate synthase (EC 6.3.4.5) (Citrulline--aspartate ligase)	46096
OG6_222573	CR00630WA	A0A1D8PRT2	Uncharacterized protein	61244
OG6_101052	CR00640WA	A0A1D8PRR7	Acetyl-CoA carboxylase	253422
OG6_105356	CR00650WA	A0A1D8PRU0	Peptidase S8/S53 domain-containing protein	41041
OG6_105356	CR00660WA	A0A1D8PRS3	Peptidase S8/S53 domain-containing protein	46623
OG6_103381	CR00670CA	A0A1D8PRS2	tRNA:m(4)X modification enzyme TRM13 (EC 2.1.1.225)	47511
OG6_115800	CR00680WA	A0A1D8PRR2	Bud22p	52802
OG6_102618	CR00690CA	A0A1D8PRS1	Uncharacterized protein	48900
OG6r21_102280	CR00700WA	Q5A843	Uncharacterized protein	54362
OG6_100272	CR00710CA	Q5A845	3-oxoacyl-[acyl-carrier-protein] reductase (NADPH)	24621
OG6r21_140143	CR00720WA	Q5A844	Uncharacterized protein	11861
OG6_588367	CR00740CA	Q5A846	Beta-mannosyltransferase 3 (EC 2.4.1.-) (WRY family protein 9)	62926
OG6_102291	CR00750CA	Q5A847	JmjC domain-containing histone demethylation protein 1 (EC 1.14.11.27) ([Histone-H3]-lysine-36 demethylase 1)	55460
OG6_109925	CR00760CA	Q5A849	Hyphally regulated cell wall protein 4 (Adhesin-like protein HYR4)	133951
OG6_103561	CR00780CA	Q5A850	Glycogen [starch] synthase (EC 2.4.1.11)	75580
OG6_102497	CR00800CA	Q5A852	SnoRNA-binding rRNA-processing protein	104248
OG6_105849	CR00810WA	Q5A853	M-phase phosphoprotein 6	15060
OG6_103276	CR00820CA	A0A1D8PRS9	RWD domain-containing protein	33738
OG6_103410	CR00830WA	Q5A857	RNA polymerase II-associated protein 3	37759
OG6r21_140146	CR00840CA	Q5A856	Uncharacterized protein	19955
OG6_101172	CR00850CA	A0A1D8PRT5	1,3-beta-glucan synthase (EC 2.4.1.34) (1,3-beta-D-glucan-UDP glucosyltransferase)	189424
OG6_101832	CR00860CA	Q5A860	Translationally-controlled tumor protein homolog (TCTP)	18558
OG6_103790	CR00870CA	Q5A861	Palmitoyltransferase SWF1 (EC 2.3.1.225)	40906
OG6r21_101538	CR00880WA	Q5A862	Uncharacterized protein	40817
OG6_119793	CR00890CA	A0A1D8PRT6	Uncharacterized protein	10354
OG6_101071	CR00900WA	Q5A863	tRNA (guanine(26)-N(2))-dimethyltransferase (EC 2.1.1.216)	62469
OG6r21_167668	CR00910WA	A0A1D8PRT3	Uncharacterized protein	4957
OG6_129971	CR00920WA	Q5A864	Cruciform cutting endonuclease	38574
OG6_103278	CR00930WA	Q5A865	Ato10p	16163
OG6_103278	CR00970WA	Q5A867	Ato9p	19778
OG6_100772	CR00980CA	Q5A868	Phosphopantothenoylcysteine decarboxylase complex subunit	80391
OG6_100807	CR00990WA	Q5A869	Signal peptidase complex catalytic subunit SEC11 (EC 3.4.21.89) (Signal peptidase I)	18867
OG6_133293	CR01000CA	Q5A872	Histidine protein kinase SLN1 (EC 2.7.13.3)	150742
OG6r21_102281	CR01010WA	Q5A873	Ten1p	14239
OG6r21_126973	CR01020CA	Q5A875	Uncharacterized protein	70001
OG6_119786	CR01030WA	Q5A876	Dal81p	98618
OG6_102934	CR01040CA	A0A1D8PRU4	Actin-related protein 2/3 complex subunit 4	20118
OG6_101966	CR01050CA	Q5A878	Pre-mRNA-processing protein PRP40	71034
OG6_118086	CR01060WA	Q5A879	Sphingosine N-acyltransferase	48635
OG6_104683	CR01070WA	Q5A880	Uncharacterized protein	38448
OG6_102302	CR01080WA	Q5A881	AP-1 accessory protein LAA1	248298
OG6r21_101391	CR01090WA	A0A1D8PRW2	Uncharacterized protein	97959
OG6_106193	CR01100CA	Q5A884	Cytochrome c oxidase-assembly factor COX23, mitochondrial	16477
OG6_100507	CR01110WA	Q5A885	Signal recognition particle 54 kDa protein	60697
OG6_103784	CR01120CA	Q5A886	Transcription initiation factor TFIID subunit 10	26818
OG6_104242	CR01130WA	Q5A887	WDR59/RTC1-like RING zinc finger domain-containing protein	160615
OG6_106304	CR01140CA	Q5A888	3-keto-steroid reductase ERG27 (EC 1.1.1.270)	38981
OG6_102931	CR01150CA	Q5A889	Ctf18p	95998
OG6_102181	CR01170WA	Q5A892	HECT-type E3 ubiquitin transferase (EC 2.3.2.26)	193264
OG6_102492	CR01180WA	Q5A893	F-actin-capping protein subunit alpha	31984
OG6_116904	CR01190CA	A0A1D8PRX5	Sft1p	11444
OG6_100194	CR01200WA	Q5A894	Oye22p	43886
OG6_103033	CR01210CA	Q5A895	Class E vacuolar protein-sorting machinery protein HSE1	56597
OG6_116534	CR01220WA	Q5A896	Major facilitator superfamily (MFS) profile domain-containing protein	57757
OG6_101939	CR01230CA	A0A1D8PRX3	Anaphase promoting complex subunit	99386
OG6_103553	CR01240CA	A0A1D8PRW9	Boi2p	126367
OG6r21_167669	CR01250CA	Q5A899	Uncharacterized protein	11748
OG6_500271	CR01260WA	A0A1D8PRX1	Transmembrane 9 superfamily member	82756
OG6_107140	CR01270CA	A0A1D8PRX4	Fth2p	58420
OG6_104576	CR01280CA	Q5A8A2	Phosphatidylglycerol/phosphatidylinositol transfer protein (PG/PI-TP)	21197
OG6_105956	CR01290CA	A0A1D8PRY4	Cwh43p	116135
OG6_108706	CR01300WA	A0A1D8PRX9	Uncharacterized protein	11808
OG6_100847	CR01310WA	A0A1D8PRY3	ATP synthase subunit gamma	32119
OG6_108204	CR01320CA	A0A1D8PRZ2	STAS domain-containing protein	110471
OG6_100435	CR01330WA	Q5A8A6	carbamoyl-phosphate synthase (ammonia) (EC 6.3.4.16) (Ammonium-dependent carbamoyl phosphate synthetase) (Arginine-specific carbamoyl phosphate synthetase, ammonia chain) (Glutamine-dependent carbamoyl phosphate synthetase)	127091
OG6_127200	CR01340WA	Q5A9E8	Major facilitator superfamily (MFS) profile domain-containing protein	61194
OG6_101315	CR01350CA	Q5A9E7	Uncharacterized protein	33024
OG6_107147	CR01360WA	Q5A9E6	Kinetochore-associated protein	22241
OG6_101240	CR01370CA	A0A1D8PRY0	Mitochondrial 37S ribosomal protein MRPS28	37021
OG6_109530	CR01380WA	A0A1D8PRY6	Uncharacterized protein	112905
OG6_100642	CR01390WA	Q5A9E1	GrpE protein homolog	27235
OG6_100541	CR01400WA	Q5A9D9	Homoisocitrate dehydrogenase	40668
OG6_103591	CR01410CA	Q5A9D8	Uncharacterized protein	48854
OG6_105326	CR01420WA	Q5A9D7	Transcription factor TFIIIB subunit	74064
OG6_105076	CR01430WA	Q5A9D6	Phosphatidylinositol N-acetylglucosaminyltransferase	23528
OG6r21_140148	CR01440CA	A0A1D8PRY8	Uncharacterized protein	6761
OG6_105438	CR01470WA	Q5A9D4	Csp37p	37004
OG6_103003	CR01480WA	A0A1D8PRZ3	proline--tRNA ligase (EC 6.1.1.15) (Prolyl-tRNA synthetase)	66238
OG6_103007	CR01490CA	A0A1D8PRY9	Protein transport protein Sec61 subunit beta	9893
OG6_115950	CR01500WA	A0A1D8PRZ6	Pin4p	94746
OG6r21_167671	CR01510CA	A0A1D8PS07	Uncharacterized protein	13604
OG6_100270	CR01520WA	A0A1D8PRZ8	protein-serine/threonine phosphatase (EC 3.1.3.16)	64480
OG6r21_140149	CR01530CA	Q5A9C6	Secreted protein	13157
OG6_103737	CR01540WA	A0A1D8PS09	Histone acetyltransferase (EC 2.3.1.48)	92724
OG6_100330	CR01550CA	A0A1D8PS00	3'-5'-exodeoxyribonuclease	47660
OG6_103567	CR01560WA	Q5A9C3	J domain-containing protein	29332
OG6_100991	CR01570WA	Q5A9C1	peptidyl-tRNA hydrolase (EC 3.1.1.29)	21637
OG6_154522	CR01580CA	A0A1D8PS02	Dot6p	64842
OG6_102508	CR01590CA	A0A1D8PS03	anthranilate synthase (EC 4.1.3.27)	58950
OG6r21_103129	CR01600CA	A0A1D8PS06	Uncharacterized protein	113535
OG6_102041	CR01610CA	A0A1D8PS15	Protein phosphatase regulator	41463
OG6_103138	CR01620CA	P82610	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14) (Cobalamin-independent methionine synthase) (Methionine synthase, vitamin-B12 independent isozyme)	85702
OG6_100215	CR01630CA	A0A1D8PS08	Cation-transporting P-type ATPase C-terminal domain-containing protein	73147
OG6_100215	CR01640CA	Q5A9B2	Cation-transporting P-type ATPase N-terminal domain-containing protein	38870
OG6_100519	CR01650WA	A0A1D8PS11	orotate phosphoribosyltransferase (EC 2.4.2.10)	23556
OG6_101284	CR01660CA	Q5A9A9	RNA-binding signal recognition particle subunit	31195
OG6_106034	CR01670WA	A0A1D8PS17	C3HC-type domain-containing protein	55972
OG6_101649	CR01680CA	Q5A9A6	SCF ubiquitin ligase complex subunit	85842
OG6_101014	CR01690CA	A0A1D8PS12	leucine--tRNA ligase (EC 6.1.1.4) (Leucyl-tRNA synthetase)	125411
OG6_103012	CR01700CA	A0A1D8PS18	U6 snRNP complex subunit	106558
OG6_163359	CR01710WA	Q5A9A1	G-patch domain-containing protein	32673
OG6_104966	CR01720WA	A0A1D8PS24	Uncharacterized protein	120269
OG6_171998	CR01730WA	A0A1D8PS14	Ifu5p	26045
OG6_103564	CR01740WA	Q5A995	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit MCI4	15589
OG6_101252	CR01750CA	P0CY31	Ras-related protein SEC4	23077
OG6_101233	CR01760CA	A0A1D8PS16	phenylalanine--tRNA ligase (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase beta subunit)	66836
OG6_102131	CR01770CA	A0A1D8PS22	DUF726-domain-containing protein	100843
OG6_121376	CR01780WA	A0A1D8PS23	25S rRNA (Uracil2843-N3)-methyltransferase	36420
OG6_103909	CR01790CA	A0A1D8PS25	MutS family protein	90732
OG6_101879	CR01800CA	Q5A985	NAD-dependent protein deacetylase HST2 (EC 2.3.1.286) (Homologous to SIR2 protein 2) (Regulatory protein SIR2 homolog 2)	37523
OG6_100721	CR01810CA	A0A1D8PS29	NAD-dependent epimerase/dehydratase domain-containing protein	37168
OG6_101297	CR01820WA	A0A1D8PS32	Ribosome quality control complex subunit 2	116829
OG6_100318	CR01830CA	A0A1D8PS27	Ptr2p	69928
OG6_103247	CR01900CA	A0A1D8PS37	Hnm3p	54583
OG6_109942	CR01910CA	A0A1D8PS31	Dethiobiotin synthase	23575
OG6_104145	CR01920WA	Q5A975	Adenosylmethionine-8-amino-7-oxononanoate transaminase	48348
OG6_104652	CR01930CA	A0A1D8PS33	biotin synthase (EC 2.8.1.6)	41752
OG6_103646	CR01950WA	A0A1D8PS34	DNA-directed RNA polymerase subunit	33482
OG6_102708	CR01960CA	Q5A970	Mitochondrial inner membrane magnesium transporter MRS2 (RNA-splicing protein MRS2)	53554
OG6_101237	CR01970CA	A0A1D8PS38	H(+)-transporting V1 sector ATPase subunit E	25387
OG6_102800	CR01980CA	Q5A967	Mitochondrial thiamine pyrophosphate carrier 1	30069
OG6_101925	CR01990CA	A0A1D8PS42	Spindle pole body component	92201
OG6_100359	CR02000CA	O94069	5-aminolevulinate synthase, mitochondrial (EC 2.3.1.37) (5-aminolevulinic acid synthase) (Delta-ALA synthase) (Delta-aminolevulinate synthase)	61381
OG6_102439	CR02020CA	A0A1D8PS46	Oligopeptide transporter	88396
OG6_102591	CR02030CA	Q5A962	rRNA (Cytosine-C5-)-methyltransferase	56992
OG6_101386	CR02040WA	Q5A961	Actin-regulating kinase PRK1 (EC 2.7.11.1)	77639
OG6_100220	CR02050CA	Q5A960	Histone deacetylase HDA1 (EC 3.5.1.98)	92913
OG6_104655	CR02060WA	A0A1D8PS44	Phosphomutase	35905
OG6_100245	CR02070CA	A0A1D8PS45	Adh5p	35703
OG6_111222	CR02090CA	O93803	mRNA-capping enzyme subunit beta (EC 3.6.1.74) (mRNA 5'-phosphatase) (mRNA 5'-triphosphate monophosphatase)	58801
OG6_100893	CR02100CA	A0A1D8PS57	tRNA-binding domain-containing protein	20573
OG6_101983	CR02110WA	A0A1D8PS48	DNA replication licensing factor MCM6 (EC 3.6.4.12)	98417
OG6_153330	CR02120CA	Q5A954	C2H2-type domain-containing protein	29197
OG6_103352	CR02130WA	A0A1D8PS56	Omega-class glutathione transferase	39008
OG6_100217	CR02140WA	A0A1D8PS50	Ras family GTPase	27632
OG6_100059	CR02150WA	Q5A951	ATP-binding cassette permease	75960
OG6_102789	CR02160WA	Q5A950	Sterol 3-beta-glucosyltransferase (EC 2.4.1.-) (EC 2.4.1.173) (Autophagy-related protein 26) (UDP-glycosyltransferase 51)	170442
OG6_103275	CR02170WA	Q5A948	Homoserine O-acetyltransferase	45392
OG6_101372	CR02180WA	Q59UY6	Acid phosphatase	51305
OG6_500036	CR02190CA	Q59UY7	Transcriptional regulatory protein SEF1	103901
OG6_100483	CR02200CA	Q59UY8	DNA repair protein RAD51 homolog	39549
OG6_101957	CR02210WA	Q59UZ0	non-specific serine/threonine protein kinase (EC 2.7.11.1)	110117
OG6_140564	CR02220CA	A0A1D8PS61	Opt3p	102897
OG6_140564	CR02240CA	Q59UZ4	Opt2p	105662
OG6_102836	CR02250CA	A0A1D8PS67	Cex1p	84217
OG6r21_112742	CR02260CA	A0A1D8PS66	F-box domain-containing protein	39508
OG6r21_104660	CR02270CA	A0A1D8PS62	Uncharacterized protein	29018
OG6_137540	CR02280WA	Q59V01	Predicted GPI-anchored protein 23	24390
OG6_107381	CR02290WA	Q59V02	Probable GPI-anchored adhesin-like protein PGA22 (Predicted GPI-anchored protein 22)	17335
OG6r21_102282	CR02300CA	A0A1D8PS60	VPS9 domain-containing protein	90270
OG6_104881	CR02330CA	A0A1D8PS73	Kar4p	42464
OG6r21_110842	CR02340WA	A0A1D8PS70	Uncharacterized protein	49308
OG6_100336	CR02350CA	A0A1D8PS75	Gef2p	96570
OG6_100639	CR02360WA	A0A1D8PS79	Isocitrate dehydrogenase [NADP] (EC 1.1.1.42)	46312
OG6_102540	CR02370WA	O59933	C-4 methylsterol oxidase (EC 1.14.18.9) (Ergosterol biosynthesis protein 25) (Sterol-C4-methyl oxidase) (SMO)	36561
OG6_152871	CR02380CA	A0A1D8PS74	ER membrane protein complex subunit 5	15826
OG6_499956	CR02390WA	A0A1D8PS72	Protein phosphatase regulator	98803
OG6_101372	CR02400WA	A0A1D8PS71	Phytase PHO112 (EC 3.1.3.-) (EC 3.1.3.8) (Histidine acid phosphatase PHO112) (HAP) (Myo-inositol hexakisphosphate phosphohydrolase PHO112) (Myo-inositol-hexaphosphate 3-phosphohydrolase PHO112)	51296
OG6_107452	CR02410WA	A0A1D8PS69	SWIM-type domain-containing protein	115866
OG6_102991	CR02420WA	A0A1D8PS68	rRNA-binding ribosome biosynthesis protein	30808
OG6_103027	CR02430CA	A0A1D8PS77	Uncharacterized protein	95373
OG6r21_140152	CR02440WA	A0A1D8PS78	Uncharacterized protein	12556
OG6_122561	CR02460WA	Q59V20	Cyclic nucleotide-binding domain-containing protein	81607
OG6_140564	CR02490WA	Q59LT5	Opt4p	41592
OG6_108325	CR02500WA	Q59LT6	Uncharacterized protein	59046
OG6_100166	CR02510WA	A0A1D8PS81	C2H2-type domain-containing protein	124560
OG6_102491	CR02520WA	Q59LT9	DNA-directed RNA polymerase core subunit	14525
OG6_100364	CR02530WA	Q59LU0	ATP-dependent RNA helicase DBP2 (EC 3.6.4.13)	61281
OG6_109767	CR02540WA	Q59LV5	Phosphatidylethanolamine N-methyltransferase (PE methyltransferase) (PEAMT) (PEMT) (EC 2.1.1.17)	102499
OG6_102545	CR02550CA	A0A1D8PS88	Exosome non-catalytic core subunit	31792
OG6_127204	CR02560CA	Q59LV8	Activator of stress genes protein 1	111683
OG6_107277	CR02570CA	Q59LU6	Triglyceride lipase	45631
OG6_104342	CR02580WA	A0A1D8PS97	Pantoate--beta-alanine ligase (EC 6.3.2.1) (Pantoate-activating enzyme) (Pantothenate synthetase)	35324
OG6_100085	CR02590CA	A0A1D8PS92	RNA helicase (EC 3.6.4.13)	122076
OG6r21_101682	CR02600WA	A0A1D8PS89	Uncharacterized protein	25465
OG6_111140	CR02610CA	A0A1D8PS91	FG-nucleoporin	60963
OG6_103954	CR02620CA	Q5A222	NADH-ubiquinone oxidoreductase	19930
OG6_102642	CR02630CA	A0A1D8PS93	Conserved oligomeric Golgi complex subunit 2 (Component of oligomeric Golgi complex 2)	32914
OG6_123090	CR02640WA	Q5A220	Repressor of filamentous growth 1	64967
OG6_102453	CR02650CA	Q5A218	Fe-S cluster assembly protein DRE2 (Anamorsin homolog)	45941
OG6r21_115571	CR02670CA	Q5A217	Uncharacterized protein	51268
OG6_103226	CR02680WA	Q5A216	Probable kinetochore protein NDC80	92450
OG6_102852	CR02690WA	A0A1D8PSA3	CAP-Gly domain-containing protein	32684
OG6_143864	CR02700WA	Q5A214	Processing of GAS1 and ALP protein 2	15186
OG6_102033	CR02710WA	Q5A213	Rrp9p	62414
OG6_500829	CR02720CA	A0A1D8PS98	DNA-directed RNA polymerase III subunit	32051
OG6_198998	CR02740WA	A0A1D8PSB2	Inn1p	73471
OG6r21_126975	CR02750CA	Q5A210	Predicted GPI-anchored protein 34	19497
OG6_100248	CR02760CA	A0A1D8PSA6	Histone deacetylase (EC 3.5.1.98)	54048
OG6_102966	CR02770CA	A0A1D8PSA4	E1 ubiquitin-activating protein	43262
OG6_114830	CR02780WA	Q5A207	Carbonic anhydrase (EC 4.2.1.1) (Carbonate dehydratase)	17865
OG6_101465	CR02790CA	A0A1D8PSA5	dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117)	36780
OG6_102957	CR02800CA	A0A1D8PSB1	beta-mannosidase (EC 3.2.1.25)	95599
OG6_100871	CR02810WA	A0A1D8PSB5	Cirt4bp	63681
OG6_100937	CR02820WA	A0A1D8PSA9	phosphoglucomutase (alpha-D-glucose-1,6-bisphosphate-dependent) (EC 5.4.2.2)	61842
OG6_152975	CR02850CA	Q5A201	Transcriptional regulator GZF3	75916
OG6_101682	CR02860WA	O42825	GTP-binding protein RHO1	21999
OG6_101228	CR02870WA	A0A1D8PSB0	AP-1 complex subunit gamma	91474
OG6r21_104661	CR02880WA	Q5A1Z7	Uncharacterized protein	15337
OG6_102868	CR02890CA	Q5A246	DNA-directed RNA polymerase III subunit RPC3 (RNA polymerase III subunit C3)	68319
OG6_136451	CR02910WA	Q5A1Z5	Autophagy-related protein 13	84411
OG6_100198	CR02920CA	Q5A1Z4	Aqy1p	29299
OG6r21_140154	CR02930WA	A0A1D8PSB8	Uncharacterized protein	219764
OG6_115844	CR02940CA	Q5A1Z2	Mitochondrial thiamine pyrophosphate carrier 1	40166
OG6_106076	CR02950CA	Q5A1Z1	Mitochondrial 37S ribosomal protein MRP21	22567
OG6r21_102054	CR02960WA	Q5A1Y9	Uncharacterized protein	33813
OG6_100822	CR02970CA	A0A1D8PSC6	DNA 3'-5' helicase (EC 5.6.2.4)	95646
OG6_104928	CR02980CA	A0A1D8PSB9	Srp40p	46908
OG6_100984	CR02990CA	Q5A1Y2	GTP cyclohydrolase II (EC 3.5.4.25)	37643
OG6r21_102791	CR03000CA	A0A1D8PSD5	Thioredoxin domain-containing protein	19380
OG6_101299	CR03010CA	A0A1D8PSD6	Sulfhydryl oxidase (EC 1.8.3.2)	21049
OG6_101371	CR03020CA	Q5A1X9	5'-deoxynucleotidase (EC 3.1.3.89)	30326
OG6_100748	CR03030CA	A0A1D8PSC5	Large ribosomal subunit protein uL15 (60S ribosomal protein L28)	16663
OG6_100060	CR03040CA	A0A1D8PSC9	Hgt18p	53715
OG6_116987	CR03050CA	A0A1D8PSC7	Transcription activator of gluconeogenesis ERT1	63499
OG6_100893	CR03060WA	A0A1D8PSC8	Arc1p	40932
OG6_101450	CR03070WA	A0A1D8PSD0	Protein DOM34 homolog	44924
OG6_118280	CR03080CA	Q59UE6	Uncharacterized protein	21711
OG6_113025	CR03090CA	A0A1D8PSE1	Mlc1p	15996
OG6_102083	CR03100WA	Q59UE8	Structural maintenance of chromosomes protein 5	124389
OG6_101161	CR03110WA	A0A1D8PSE8	glutamate--tRNA ligase (EC 6.1.1.17) (Glutamyl-tRNA synthetase)	58453
OG6_499937	CR03120WA	A0A1D8PSE0	Mitochondrial peculiar membrane protein 1	37086
OG6_103010	CR03130WA	A0A1D8PSD3	Vacuolar protein sorting-associated protein 55	16264
OG6_129040	CR03140CA	A0A1D8PSE4	Syntaxin	31069
OG6_129965	CR03150WA	A0A1D8PSD4	Sys3p	102943
OG6_104044	CR03160WA	Q59UF6	tRNA(Phe) 7-[(3-amino-3-carboxypropyl)-4-demethylwyosine(37)-N(4)]-methyltransferase (EC 2.1.1.282) (tRNA(Phe) 7-((3-amino-3-carboxypropyl)-4-demethylwyosine(37)-N(4))-methyltransferase)	32054
OG6_100778	CR03170WA	Q59UF7	aspartate--tRNA ligase (EC 6.1.1.12) (Aspartyl-tRNA synthetase)	65291
OG6_102660	CR03180WA	A0A1D8PSF4	GTP-binding protein	42067
OG6_103108	CR03200CA	A0A1D8PSF2	Ribonuclease P/MRP protein subunit	90120
OG6_103165	CR03210CA	Q59UG2	RNA polymerase II subunit A C-terminal domain phosphatase SSU72 (CTD phosphatase SSU72) (EC 3.1.3.16)	26164
OG6_100501	CR03220CA	Q59UG3	Cysteine protease ATG4 (EC 3.4.22.-) (Autophagy-related protein 4)	50441
OG6_110895	CR03230WA	Q59UG4	Protein SQS1	80496
OG6_102227	CR03240CA	A0A1D8PSD9	J protein JJJ1	68272
OG6r21_102283	CR03250CA	Q59UG6	Uncharacterized protein	31684
OG6_103320	CR03260WA	A0A1D8PSD7	DUF833-domain-containing protein	38604
OG6_129076	CR03270WA	A0A1D8PSE5	Major facilitator superfamily (MFS) profile domain-containing protein	56033
OG6_115538	CR03280WA	A0A1D8PSE7	Ifr2p	38492
OG6_101384	CR03290CA	Q59UG9	Protein kinase	59082
OG6_115538	CR03300CA	A0A1D8PSF7	Enoyl reductase (ER) domain-containing protein	39492
OG6_104512	CR03310CA	A0A1D8PSG9	C3H1-type domain-containing protein	53151
OG6r21_112743	CR03320CA	A0A1D8PSH0	Uncharacterized protein	24641
